Customer ID,Unnamed: 0,Total_Orders,Total_Profit,Sales,Avg_Discount,Segment,Region,Furniture_Profit,Technology_Profit,Office_Supplies_Profit,Multi_Category,has_furniture,has_technology,has_office,Customer_Group,First_Category,Acquisition_Date,Cohort_Year,Last_Order_Date,Months_Since_Acquisition
BP-11050,98,7,209.783,983.42,0.1428571428571428,Corporate,East,0.0,118.3704,91.4126,2,0,1,1,Other,Office Supplies,2014-10-12,2014,2017-10-08,36.4
BP-11095,99,20,433.9751,2442.044,0.165,Corporate,Central,7.1994,319.12469999999996,107.651,3,1,1,1,All Three,Office Supplies,2014-06-07,2014,2017-12-13,42.833333333333336
BP-11155,100,11,647.3847000000001,1697.861,0.0818181818181818,Consumer,South,28.646,431.98199999999997,186.7567,3,1,1,1,All Three,Technology,2015-06-04,2015,2017-10-02,28.366666666666667
BP-11185,101,18,363.5991,3675.861,0.1944444444444444,Corporate,West,64.8357,297.384,1.379399999999996,3,1,1,1,All Three,Office Supplies,2015-03-24,2015,2017-12-29,33.7
BP-11230,102,6,-197.2695,1181.49,0.0666666666666666,Consumer,West,52.4278,-255.7425,6.0451999999999995,2,1,0,1,Furniture + Office Supplies,Furniture,2014-04-20,2014,2017-11-21,43.7
BP-11290,103,16,-319.0637,2475.157,0.3,Consumer,Central,-145.7353,0.0,-173.3284,0,0,0,0,Other,Furniture,2014-10-03,2014,2017-12-18,39.06666666666667
BS-11365,104,9,2616.0644,10501.653,0.0111111111111111,Corporate,East,208.2579,2366.5338,41.2727,3,1,1,1,All Three,Office Supplies,2014-05-04,2014,2016-06-20,25.933333333333334
BS-11380,105,13,-17.532200000000024,3887.834,0.2769230769230769,Corporate,Central,-295.52700000000004,63.87060000000001,214.1242,2,0,1,1,Other,Office Supplies,2014-11-29,2014,2017-12-02,36.63333333333333
BS-11590,106,10,381.7807,2454.928,0.3,Corporate,West,115.18480000000001,164.382,102.21390000000001,3,1,1,1,All Three,Furniture,2014-01-14,2014,2017-11-25,47.03333333333333
BS-11665,107,11,238.7368,3288.1099999999997,0.1818181818181818,Consumer,East,12.303800000000006,53.075700000000005,173.3573,3,1,1,1,All Three,Technology,2014-06-23,2014,2016-05-27,23.466666666666665
BS-11755,108,14,-113.29840000000004,2562.382,0.1321428571428571,Consumer,West,-81.3673,-168.9558,137.0247,1,0,0,1,Other,Technology,2014-05-18,2014,2017-12-29,44.03333333333333
BS-11800,109,8,194.0516,949.43,0.0,Home Office,East,0.0,0.0,194.0516,1,0,0,1,Other,Office Supplies,2015-09-26,2015,2017-04-09,18.7
BT-11305,110,9,417.5918,2567.656,0.0444444444444444,Home Office,West,300.0279,26.3967,91.1672,3,1,1,1,All Three,Furniture,2014-04-25,2014,2017-01-28,33.63333333333333
BT-11395,111,10,257.9163,2186.6130000000003,0.15,Corporate,Central,122.598,94.2074,41.1109,3,1,1,1,All Three,Technology,2014-10-28,2014,2017-03-03,28.566666666666666
BT-11440,112,7,-77.5256,603.876,0.1571428571428571,Consumer,West,-115.2218,0.0,37.6962,1,0,0,1,Other,Furniture,2014-06-04,2014,2016-06-18,24.833333333333332
BT-11485,113,3,126.8694,415.196,0.0666666666666666,Home Office,East,9.48,0.0,117.3894,2,1,0,1,Furniture + Office Supplies,Office Supplies,2015-12-27,2015,2016-03-11,2.5
BT-11530,114,10,409.4983,2684.4919999999997,0.1,Home Office,West,89.2224,110.3367,209.9392,3,1,1,1,All Three,Office Supplies,2014-05-21,2014,2017-09-30,40.93333333333333
BT-11680,115,20,447.74839999999995,3196.752,0.07,Consumer,East,55.4482,9.466499999999996,382.8337,3,1,1,1,All Three,Technology,2014-11-28,2014,2017-12-10,36.93333333333333
BV-11245,116,14,315.2214,1523.273,0.0928571428571428,Corporate,Central,99.757,53.749,161.71540000000002,3,1,1,1,All Three,Office Supplies,2015-03-26,2015,2017-01-30,22.533333333333335
BW-11065,117,3,-58.28659999999999,385.516,0.1333333333333333,Consumer,South,12.1149,0.0,-70.4015,1,1,0,0,Furniture Only,Office Supplies,2014-05-25,2014,2017-06-01,36.766666666666666
BW-11110,118,17,921.2574,4750.358,0.1411764705882353,Corporate,Central,14.919799999999995,719.3329,187.0047,3,1,1,1,All Three,Office Supplies,2015-03-20,2015,2017-08-31,29.833333333333332
BW-11200,119,10,246.9973,1738.406,0.15,Consumer,South,188.04479999999998,50.396,8.5565,3,1,1,1,All Three,Technology,2014-08-12,2014,2017-06-10,34.43333333333333
CA-11965,120,10,1143.3817,3789.7228,0.112,Corporate,South,52.959599999999995,1064.979,25.443099999999998,3,1,1,1,All Three,Furniture,2014-01-26,2014,2017-09-25,44.6
CA-12055,121,10,211.2559,1679.7240000000002,0.3,Home Office,Central,12.8256,41.93050000000001,156.4998,3,1,1,1,All Three,Office Supplies,2015-09-05,2015,2016-11-24,14.866666666666667
CA-12265,122,17,279.6183,2648.2872,0.1894117647058823,Consumer,Central,141.5274,133.8045,4.2863999999999995,3,1,1,1,All Three,Office Supplies,2014-03-25,2014,2017-11-04,44.0
CA-12310,123,11,246.0218,1421.954,0.1181818181818181,Corporate,East,-4.032,95.6928,154.361,2,0,1,1,Other,Office Supplies,2014-07-19,2014,2017-12-17,41.56666666666667
CA-12775,124,17,204.4895,3041.566,0.188235294117647,Consumer,South,-50.71529999999997,127.788,127.41680000000001,2,0,1,1,Other,Office Supplies,2014-06-28,2014,2017-09-01,38.7
CB-12025,125,26,150.2089,6076.139,0.1634615384615384,Consumer,East,-75.7759,39.1036,186.88119999999998,2,0,1,1,Other,Office Supplies,2014-03-21,2014,2017-11-13,44.43333333333333
CB-12415,126,12,272.3883,1949.2,0.3333333333333333,Consumer,East,21.5964,191.9968,58.7951,3,1,1,1,All Three,Office Supplies,2015-11-05,2015,2017-12-04,25.333333333333332
CB-12535,127,19,1049.5601,4246.4555,0.05,Corporate,South,159.05509999999998,168.97879999999998,721.5262,3,1,1,1,All Three,Office Supplies,2015-01-02,2015,2017-06-16,29.866666666666667
CC-12100,128,13,208.5912,1770.945,0.2153846153846153,Home Office,Central,32.7894,144.1443,31.6575,3,1,1,1,All Three,Technology,2014-12-16,2014,2016-09-29,21.766666666666666
CC-12145,129,11,392.2825,2471.65,0.0818181818181818,Consumer,West,95.3004,215.9973,80.9848,3,1,1,1,All Three,Office Supplies,2014-07-20,2014,2017-09-15,38.43333333333333
CC-12220,130,22,393.9618,3913.418,0.1181818181818181,Consumer,Central,-99.4608,187.27790000000002,306.1447,2,0,1,1,Other,Office Supplies,2014-09-09,2014,2017-12-10,39.6
CC-12370,131,11,2177.0493,12129.072000000002,0.2818181818181818,Consumer,South,95.91159999999999,2040.5068999999999,40.6308,3,1,1,1,All Three,Technology,2016-05-23,2016,2017-11-17,18.1
CC-12430,132,19,424.6583,2870.05,0.0578947368421052,Home Office,Central,52.90360000000001,185.7148,186.0399,3,1,1,1,All Three,Furniture,2015-09-06,2015,2017-12-30,28.2
CC-12475,133,13,154.851,1659.438,0.1615384615384615,Consumer,East,-65.853,100.4316,120.27239999999999,2,0,1,1,Other,Technology,2014-05-16,2014,2017-11-21,42.833333333333336
CC-12550,134,4,33.870599999999996,113.832,0.15,Consumer,West,0.0,4.7976,29.073,2,0,1,1,Other,Technology,2017-06-15,2017,2017-12-03,5.7
CC-12610,135,12,331.434,2540.631,0.2749999999999999,Corporate,East,135.99259999999998,165.18699999999998,30.254399999999997,3,1,1,1,All Three,Technology,2014-08-27,2014,2017-11-26,39.56666666666667
CC-12670,136,14,187.8399,2269.7015,0.1678571428571428,Consumer,East,82.07209999999999,77.0553,28.7125,3,1,1,1,All Three,Office Supplies,2014-12-23,2014,2017-12-01,35.8
CC-12685,137,12,850.1591,2854.115,0.25,Consumer,South,0.0,491.9859,358.1732,2,0,1,1,Other,Office Supplies,2014-03-22,2014,2015-10-23,19.333333333333332
CD-11920,138,9,426.661,2033.968,0.0444444444444444,Consumer,West,16.4398,327.5922,82.62899999999999,3,1,1,1,All Three,Office Supplies,2014-03-24,2014,2017-11-20,44.56666666666667
CD-11980,139,6,-206.7172,639.766,0.4333333333333333,Consumer,Central,-41.262,4.5201,-169.9753,1,0,1,0,Other,Office Supplies,2016-11-24,2016,2017-11-06,11.566666666666666
CD-12280,140,13,233.0274,1205.584,0.0846153846153846,Consumer,West,-3.866799999999998,58.3324,178.5618,2,0,1,1,Other,Furniture,2017-11-05,2017,2017-11-18,0.43333333333333335
CD-12790,141,15,403.8422,1860.732,0.0266666666666666,Home Office,West,0.0,16.3675,387.4747,2,0,1,1,Other,Office Supplies,2014-02-02,2014,2016-11-26,34.266666666666666
CG-12040,142,9,86.5106,904.468,0.1888888888888888,Home Office,East,0.0,17.9982,68.5124,2,0,1,1,Other,Office Supplies,2015-06-01,2015,2017-11-11,29.8
CG-12520,143,5,169.93439999999998,1148.7800000000002,0.2,Consumer,South,166.248,0.0,3.6864,2,1,0,1,Furniture + Office Supplies,Office Supplies,2015-10-15,2015,2017-01-26,15.633333333333333
